n, time_normal, time_opt, L3_normal, L3_opt, L2_normal, L2_opt, FLOPS_DP_normal, FLOPS_DP_opt, FLOPS_AVX_normal, FLOPS_AVX_opt
10,3.910777e-05,2.862014e-05,2323.8349,2151.2124,0.3156,0.3368,391.7972,1197.7386,0,398.9138,
32,0.0003,4.546589e-05,380.1331,2212.8237,0.1935,0.3371,610.8709,3358.1136,0,1580.1435,
50,0.0003,0.0001,234.9334,945.5268,0.1734,0.1932,427.3613,2310.0193,0,1066.1218,
64,0.0006,0.0001,190.1334,855.3994,0.0374,0.0719,711.8480,4846.3951,0,2349.7117,
100,0.0010,0.0003,453.9047,716.2138,0.0257,0.0189,1517.5462,5108.5762,0,2504.1795,
128,0.0016,0.0003,1367.7362,4177.6518,0.1603,0.0784,1217.9893,4696.5560,0,2312.1368,
200,0.0029,0.0008,3932.4212,13725.4704,0.3209,0.2673,1420.1298,5133.6884,0,2541.4236,
250,0.0042,0.0013,5675.3878,18570.0204,0.3691,0.2825,1491.5481,5047.9231,0,2483.8947,
256,0.0044,0.0014,5992.7802,19254.2860,0.3808,0.2984,1450.5601,5112.0069,0,2536.1856,
300,0.0061,0.0018,6275.7656,21265.6273,0.3855,0.2908,1484.6009,5140.9737,0,2553.4610,
400,0.0119,0.0032,6153.9412,21711.5698,0.3769,0.3081,1236.4147,3666.6585,0,1824.2071,
512,0.0193,0.0055,6382.4042,20838.8140,0.3771,0.3161,1398.6039,4723.6551,0,2352.6367,
600,0.0265,0.0083,6644.3472,21356.6176,0.3607,0.3221,1365.7594,4512.7781,0,2248.8921,
1000,0.0803,0.0455,9335.2565,16562.4694,0.3172,0.3161,1251.2027,3168.5190,0,1581.0972,
1024,0.0834,0.0397,9226.7895,19772.0159,0.3168,0.3231,1230.0289,3238.5628,0,1616.1248,
2000,0.3337,0.1480,9633.6116,21545.2789,0.3035,0.3104,1255.6134,2902.5262,0,1449.8133,
2048,0.3499,0.1569,9609.0554,21174.6311,0.2985,0.3331,1256.9583,2898.3506,0,1447.7615,
3000,0.7173,0.2906,10021.1964,25062.1186,0.2444,0.3071,1267.6478,3142.0802,0,1569.9934,
4096,1.3683,0.5761,9797.1503,24680.1370,0.2439,0.3441,1272.3240,2900.0004,0,1449.2925,
